                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.4161,                 1.5264,                 1.6271,                0.38379,                 0.6208,                0.44094,                0.25461,                 1.3919,                 1.5253,                 1.5843,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.4143,                  1.516,                  1.625,                0.40261,                0.56121,                0.44581,                0.26172,                 1.4442,                 1.6434,                 1.6254,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.4085,                 1.4848,                 1.6099,                0.42016,                0.53631,                 0.4705,                0.27891,                 1.3867,                 1.5451,                 1.5685,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.4055,                  1.491,                 1.6138,                 0.4324,                0.58538,                0.45634,                0.26671,                 1.4124,                 1.5422,                 1.5949,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.3941,                 1.4757,                 1.6007,                0.43707,                0.58692,                 0.4727,                0.27367,                 1.3861,                 1.4566,                 1.6059,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.3852,                 1.4657,                 1.5939,                0.40333,                0.56231,                0.45479,                0.26793,                 1.3863,                 1.5191,                 1.5589,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.3855,                 1.4807,                 1.5966,                0.42202,                0.56423,                0.48723,                0.28801,                    1.4,                 1.5007,                 1.5935,             0.00060847,             0.00060847,             0.00060847
                     61,                   1.37,                 1.4481,                 1.5852,                0.44167,                 0.6138,                0.47633,                0.27662,                 1.4118,                 1.4662,                 1.5924,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.3641,                 1.4468,                 1.5851,                0.36777,                0.63773,                0.47836,                0.28441,                 1.3919,                  1.487,                 1.5727,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.3648,                 1.4398,                 1.5808,                0.36983,                0.54775,                0.45961,                0.26614,                  1.431,                 1.5366,                 1.5958,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.3842,                 1.4497,                 1.5902,                0.35663,                0.55567,                0.45678,                0.26388,                 1.3912,                 1.5802,                 1.5788,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.3545,                 1.3966,                 1.5658,                0.39439,                0.56066,                0.43893,                0.26322,                  1.415,                 1.5313,                 1.5814,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.3472,                 1.4029,                 1.5719,                0.42903,                0.54154,                0.48398,                 0.2842,                 1.4389,                 1.4775,                  1.619,             0.00052359,             0.00052359,             0.00052359
                     67,                  1.339,                 1.3758,                  1.555,                0.43614,                0.53797,                0.50195,                0.30588,                 1.3853,                 1.5467,                  1.585,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.3382,                 1.3902,                 1.5543,                0.46607,                0.53322,                0.48499,                0.27698,                  1.403,                 1.4869,                 1.5785,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.3309,                 1.3472,                 1.5385,                0.46542,                0.58954,                0.51507,                0.30671,                 1.3932,                 1.4363,                 1.5639,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.3329,                 1.3533,                 1.5469,                0.43025,                0.58137,                0.47929,                0.28203,                 1.4319,                 1.4344,                 1.6242,               0.000467,               0.000467,               0.000467
