                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.4171,                 1.5652,                 1.7863,                0.29864,                0.43316,                 0.3327,                0.20627,                 1.3531,                  1.508,                 1.7358,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.4126,                 1.5344,                 1.7919,                0.30098,                0.39782,                0.34252,                0.20075,                 1.4366,                 1.5586,                 1.8235,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.3953,                  1.547,                 1.7693,                0.37057,                0.44825,                 0.3669,                0.21882,                 1.4454,                 1.4765,                 1.8175,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.3954,                 1.5524,                 1.7763,                0.35135,                0.44333,                0.38559,                0.22126,                 1.4302,                 1.4757,                 1.7979,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.3791,                 1.5124,                 1.7537,                0.29459,                0.44303,                0.34379,                0.19552,                 1.4418,                 1.5756,                 1.8323,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.3553,                 1.4619,                 1.7353,                0.31705,                0.43582,                0.36685,                0.21445,                 1.4303,                 1.5322,                 1.8306,               0.000656,               0.000656,               0.000656
                     51,                 1.3547,                 1.4733,                 1.7347,                0.33835,                  0.393,                0.36571,                0.21635,                 1.4865,                  1.442,                 1.8458,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.3689,                 1.4868,                 1.7476,                0.36874,                0.36613,                0.36129,                0.20481,                 1.3994,                 1.5388,                  1.816,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.3796,                 1.4868,                  1.742,                0.32517,                0.39177,                 0.3601,                0.20298,                 1.5487,                 1.5674,                 1.8807,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.3555,                 1.4587,                 1.7327,                0.29012,                0.45138,                0.32841,                0.20139,                 1.3963,                 1.4401,                 1.7895,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.3455,                 1.4461,                 1.7193,                0.27068,                0.40092,                 0.3398,                0.20166,                 1.4265,                 1.5633,                 1.8176,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.3316,                 1.4331,                  1.707,                 0.2973,                0.43628,                0.34943,                0.21075,                 1.4122,                 1.4935,                 1.8021,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.3269,                 1.4195,                 1.7079,                0.29793,                0.41864,                0.35517,                0.20942,                  1.411,                 1.4813,                 1.8097,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.3311,                 1.4272,                 1.7021,                0.36456,                  0.402,                0.37685,                0.22553,                 1.4119,                 1.4005,                  1.834,               0.000557,               0.000557,               0.000557
                     59,                   1.33,                 1.4073,                 1.7033,                0.36789,                0.40149,                0.38196,                0.23181,                 1.4092,                 1.4377,                 1.8102,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.3147,                  1.423,                 1.6867,                0.32853,                0.40211,                0.35563,                0.21212,                  1.424,                 1.4476,                 1.8156,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.3177,                 1.4077,                 1.6892,                0.28969,                0.47185,                0.35014,                0.20802,                 1.4475,                 1.5412,                  1.867,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.3147,                 1.3884,                 1.6839,                0.33117,                0.40624,                0.36711,                0.21302,                 1.4876,                 1.5197,                 1.9095,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.3074,                 1.3891,                 1.6837,                0.33774,                0.41202,                0.36586,                  0.211,                 1.4555,                 1.4509,                 1.8458,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.2919,                 1.3616,                 1.6693,                0.35437,                0.42827,                0.36697,                0.21498,                 1.4206,                 1.4543,                 1.7916,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.2777,                 1.3564,                 1.6515,                0.35005,                0.38126,                0.36088,                0.21624,                 1.3898,                 1.4511,                 1.7856,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.2968,                 1.3626,                 1.6762,                0.32391,                0.44511,                0.36198,                 0.2213,                 1.4632,                 1.4273,                 1.8185,               0.000458,               0.000458,               0.000458
                     67,                 1.2807,                 1.3197,                 1.6525,                0.28308,                0.48498,                0.36861,                0.22217,                 1.4374,                 1.4254,                 1.8235,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.2649,                 1.3309,                 1.6395,                0.31398,                0.45108,                0.36977,                0.22517,                 1.4121,                 1.4368,                 1.8074,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.2591,                 1.2877,                  1.623,                   0.39,                0.38983,                0.38653,                0.23454,                 1.4058,                 1.3785,                 1.7853,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.2454,                 1.2934,                 1.6122,                0.33513,                0.37926,                0.35923,                0.21688,                  1.429,                 1.4832,                 1.8089,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.2332,                  1.261,                 1.6111,                0.40027,                0.42717,                0.38928,                0.23795,                 1.4094,                 1.3398,                  1.799,             0.00039613,             0.00039613,             0.00039613
